COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,Year,Value
Argentina,"Loan accounts, Commercial banks",Number,2012.0,15673674.0
Argentina,"Loan accounts, Commercial banks",Number,2013.0,14633977.0
Argentina,"Loan accounts, Commercial banks",Number,2014.0,15251864.0
Argentina,"Loan accounts, Commercial banks",Number,2015.0,16462932.0
Argentina,"Loan accounts, Commercial banks",Number,2016.0,17713775.0
Argentina,"Loan accounts, Commercial banks",Number,2017.0,17807195.0
Argentina,"Loan accounts, Commercial banks",Number,2018.0,18208827.0
Argentina,"Loan accounts, Commercial banks",Number,2019.0,17653860.0
Argentina,"Loan accounts, Commercial banks",Number,2020.0,16422822.0
Argentina,"Loan accounts, Commercial banks",Number,2021.0,16155173.0
Argentina,"Loan accounts, Commercial banks",Number,2022.0,17219318.0
Argentina,"Loan accounts, Commercial banks",Number,2023.0,17898840.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2004.0,76654.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2005.0,110749.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2006.0,159251.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2007.0,215360.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2008.0,262314.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2009.0,249483.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2010.0,238513.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2011.0,209952.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2012.0,226564.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2013.0,27336.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2014.0,34928.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2015.0,34170.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2016.0,25463.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2017.0,14750.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2018.0,25473.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2019.0,
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2020.0,
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2021.0,
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2022.0,
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2023.0,
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2004.0,2.520234210448301
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2004.0,0.2590720907373506
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2005.0,2.871136555356196
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2005.0,0.2992666323186039
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2006.0,3.906296452087234
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2006.0,0.4129075635165108
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2007.0,6.645643610125015
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2007.0,0.7121741958351147
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2008.0,12.4952839972881
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2008.0,1.357479290675963
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2009.0,17.27108154915797
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2009.0,1.902663436487143
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2010.0,23.80120432313483
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2010.0,2.637858142500612
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2011.0,33.45447786317687
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2011.0,3.76184368708184
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2012.0,42.65367516691495
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2012.0,4.863539531331645
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2013.0,52.7666527654513
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2013.0,6.098242767723052
