COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,year,value
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2018,83.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2019,81.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2020,86.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2021,88.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2022,89.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2023,83.0
Argentina,"Deposit accounts, Commercial banks",Number,2004,16181859.0
Argentina,"Deposit accounts, Commercial banks",Number,2005,18872698.0
Argentina,"Deposit accounts, Commercial banks",Number,2006,19347278.0
Argentina,"Deposit accounts, Commercial banks",Number,2007,22635464.0
Argentina,"Deposit accounts, Commercial banks",Number,2008,23909280.0
Argentina,"Deposit accounts, Commercial banks",Number,2009,25798459.0
Argentina,"Deposit accounts, Commercial banks",Number,2010,27580772.0
Argentina,"Deposit accounts, Commercial banks",Number,2011,29690946.0
Argentina,"Deposit accounts, Commercial banks",Number,2012,34366986.0
Argentina,"Deposit accounts, Commercial banks",Number,2013,37413275.0
Argentina,"Deposit accounts, Commercial banks",Number,2014,40377119.0
Argentina,"Deposit accounts, Commercial banks",Number,2015,46073153.0
Argentina,"Deposit accounts, Commercial banks",Number,2016,53151682.0
Argentina,"Deposit accounts, Commercial banks",Number,2017,59965222.0
Argentina,"Deposit accounts, Commercial banks",Number,2018,65034344.0
Argentina,"Deposit accounts, Commercial banks",Number,2019,68673019.0
Argentina,"Deposit accounts, Commercial banks",Number,2020,80223775.0
Argentina,"Deposit accounts, Commercial banks",Number,2021,86191226.0
Argentina,"Deposit accounts, Commercial banks",Number,2022,96656046.0
Argentina,"Deposit accounts, Commercial banks",Number,2023,105948131.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2004,864.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2005,1605.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2006,3312.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2007,3759.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2008,3649.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2009,4679.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2010,4653.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2011,5562.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2012,5847.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2013,538.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2014,693.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2015,699.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2016,698.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2017,953.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2018,975.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2019,
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2020,
