countryname,year,estimate,stddev,nsource,pctrank,pctranklower,pctrankupper
Puerto Rico,2004,0.78897613286972,0.347725838422775,1,71.1538467407227,58.1730766296387,89.4230804443359
Suriname,2004,-0.17975702881813,0.24734890460968,7,47.5961532592773,35.5769233703613,58.6538467407227
Uruguay,2004,0.456370502710342,0.175982668995857,11,62.5,57.211540222168,69.711540222168
Argentina,2005,-0.557991087436676,0.162952050566673,12,34.4497604370117,23.4449768066406,44.0191383361816
Belize,2005,-0.0485887080430984,0.273964375257492,5,51.1961708068848,38.2775115966797,60.7655487060547
Bolivia,2005,-0.765424847602844,0.157308533787727,14,28.2296657562256,16.2679424285889,37.3205757141113
Brazil,2005,-0.475531458854675,0.162952050566673,12,38.7559814453125,28.7081336975098,45.9330139160156
Chile,2005,1.21021103858948,0.162952050566673,12,87.0813369750977,80.8612442016602,90.9090881347656
Colombia,2005,-0.63308185338974,0.155807688832283,14,33.0143547058105,21.5311012268066,41.1483268737793
Costa Rica,2005,0.497263669967651,0.168051794171333,12,63.6363639831543,57.4162673950195,70.8134002685547
Cuba,2005,-1.08653473854065,0.186534970998764,9,14.8325357437134,7.17703342437744,26.7942581176758
Dominican Republic,2005,-0.685749292373657,0.168051794171333,12,31.1004791259766,19.1387557983398,39.7129173278809
Ecuador,2005,-0.821377992630005,0.165398478507996,13,24.8803825378418,14.3540668487549,34.4497604370117
El Salvador,2005,-0.505208492279053,0.168051794171333,12,37.7990417480469,26.7942581176758,45.4545440673828
Guatemala,2005,-1.04830694198608,0.165398478507996,13,15.7894735336304,8.13397121429443,26.7942581176758
Guyana,2005,-0.663847804069519,0.202717363834381,10,31.5789470672607,16.7464122772217,43.0622024536133
Haiti,2005,-1.66308867931366,0.214245647192001,9,1.91387557983398,0,8.13397121429443
Honduras,2005,-0.771100759506226,0.157308533787727,14,27.7511959075928,16.2679424285889,36.8421058654785
Mexico,2005,-0.382989525794983,0.158019661903381,13,41.1483268737793,32.0574150085449,48.8038291931152
